Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
Logit_L2,81,0.8366827656329436,1402,5
Logit_L2,2,0.8247864768683273,1404,5
Logit_L2,23,0.8893999148815436,1329,5
Logit_L2,78,0.5712643678160919,870,5
Logit_L2,46,0.5259658893143057,848,5
Logit_L2,7,0.7864433497536945,871,5
Logit_L2,39,0.8007199885942402,838,5
Logit_L2,84,0.7096388028895768,854,5
Logit_L2,62,0.665891472868217,859,5
Logit_L2,43,0.8920547184573836,1408,5
Logit_L2,18,0.868840579710145,1380,5
Logit_L2,26,0.8013056835637482,1399,5
Logit_L2,57,0.7899967679379445,1362,5
Logit_L2,69,0.8119211822660098,872,5
Logit_L2,32,0.911097650235986,1406,5
Logit_L2,13,0.8566293848500255,1402,5
Logit_L2,48,0.6658921861820412,808,5
Logit_L2,76,0.8585772984078069,884,5
Logit_L2,90,0.720961038961039,878,5
Logit_L2,29,0.9147422820617436,856,5
Logit_L2,17,0.7414165129409135,1338,5
Logit_L2,72,0.8124738474857514,832,5
Logit_L2,94,0.5572254335260116,865,5
Logit_L2,53,0.4993188854489164,853,5
Logit_L2,8,0.8012670048711541,1409,5
Logit_L2,79,0.8660291858678957,1396,5
Logit_L2,47,0.6607354685646502,1409,5
Logit_L2,22,0.6095968143354903,1227,5
Logit_L2,3,0.6712643678160919,870,5
Logit_L2,80,0.7012865176927289,1416,5
Logit_L2,66,0.6758095238095237,873,5
Logit_L2,54,0.7102272727272727,880,5
Logit_L2,31,0.8525422427035331,1397,5
Logit_L2,10,0.5077054550633813,593,5
Logit_L2,75,0.7916557076919111,1392,5
Logit_L2,93,0.514792899408284,845,5
Logit_L2,87,0.8225352112676056,1420,5
Logit_L2,61,0.6853206076085494,861,5
Logit_L2,98,0.9480996196785669,1426,5
Logit_L2,40,0.8163120567375888,1410,5
Logit_L2,25,0.6936886678316977,862,5
Logit_L2,44,0.6978260869565218,1380,5
Logit_L2,0,0.8747086685211638,1413,5
Logit_L2,83,0.8517389508467573,1349,5
Logit_L2,65,0.7713706730449804,866,5
Logit_L2,14,0.49811364159190247,809,5
Logit_L2,97,0.6551242859348464,1273,5
Logit_L2,50,0.5953658536585366,823,5
Logit_L2,88,0.7216166751398069,1401,5
Logit_L2,35,0.7655490263855282,1318,5
Logit_L2,92,0.7328144499178982,872,5
Logit_L2,74,0.6136779136980778,862,5
Logit_L2,11,0.8356432316171528,864,5
Logit_L2,30,0.5105882352941177,850,5
Logit_L2,55,0.7841698572920293,848,5
Logit_L2,24,0.7420032840722496,872,5
Logit_L2,41,0.4857855717137154,838,5
Logit_L2,99,0.7895953757225433,865,5
Logit_L2,60,0.870765503142273,1408,5
Logit_L2,86,0.7598237642847308,1349,5
Logit_L2,5,0.6532190552122783,868,5
Logit_L2,64,0.48130434782608694,802,5
Logit_L2,82,0.801742620124973,1362,5
Logit_L2,1,0.6970766062055678,868,5
Logit_L2,20,0.8060261468244759,1392,5
Logit_L2,45,0.8389546427374229,1391,5
Logit_L2,34,0.6248447204968943,805,5
Logit_L2,89,0.6130377668308703,871,5
Logit_L2,96,0.9107586206896553,874,5
Logit_L2,70,0.7059227249618709,1401,5
Logit_L2,15,0.8533894694634488,1412,5
RandomForest,91,0.5430379746835443,790,5
RandomForest,52,0.4431481481481481,677,5
RandomForest,36,0.4682170542635659,645,5
RandomForest,58,0.7112772208779814,1316,5
RandomForest,4,0.8257977467449236,1217,5
RandomForest,21,0.5939172749391728,687,5
RandomForest,71,0.733857370699476,661,5
RandomForest,51,0.7375850964086258,1109,5
RandomForest,19,0.5886032911736706,858,5
RandomForest,27,0.5032361114718333,1389,5
RandomForest,42,0.5563218390804596,870,5
RandomForest,63,0.8012862226741231,1404,5
RandomForest,85,0.7066319267920692,1401,5
