feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch12_thresh3-events,ch12,Thresh,0.0032489814667144156,0.0034635966938969948,0.2023137609559385,0.20221633555239588,112,0,0,DROP,
ch12_fft-halfwidth,ch12,FFT,0.0032261505736761514,0.0032235111252508046,0.20089208345981385,0.1881993387131878,113,0,0,DROP,
ch07_fft-halfwidth,ch07,FFT,0.0032118700248693842,0.003615220179193873,0.20000283507006122,0.21106862070281274,114,0,0,DROP,
ch13_fft-halfwidth,ch13,FFT,0.003186547344162607,0.0032578506723181977,0.19842599419738757,0.19020419608723857,115,0,0,DROP,
ch10_thresh3-events,ch10,Thresh,0.0031821113995325794,0.0034287141508788366,0.19814976835532366,0.2001797762623637,116,0,0,DROP,
ch09_thresh3-events,ch09,Thresh,0.003169406310420004,0.003228350200801924,0.19735862368799356,0.1884818600954067,117,0,0,DROP,
ch07_thresh3-events,ch07,Thresh,0.003161520438571417,0.003834606887137336,0.19686757121248727,0.22387714896691502,118,0,0,DROP,
ch11_thresh3-events,ch11,Thresh,0.0031548711942043822,0.0032612004338804772,0.1964535234103709,0.1903997663478558,119,0,0,DROP,
ch13_thresh3-events,ch13,Thresh,0.0031305429145870134,0.003459533322735553,0.19493860379713132,0.2019791023815409,120,0,0,DROP,
ch04_fft-peakfreq,ch04,FFT,0.003128637723344649,0.0031196511042565363,0.1948199677231703,0.18213564403047183,121,0,0,DROP,
ch08_fft-halfwidth,ch08,FFT,0.0030958709114044802,0.0033987385507072343,0.19277958152027352,0.19842970067378088,122,0,0,DROP,
ch10_fft-halfwidth,ch10,FFT,0.0029841551845095457,0.0032484266897635085,0.1858230540369398,0.1896539925309536,123,0,0,DROP,
ch05_fft-peakfreq,ch05,FFT,0.0028830974427544393,0.0029855520670411086,0.17953019825501215,0.17430649465098735,124,0,0,DROP,
ch08_thresh3-events,ch08,Thresh,0.0028700801965612045,0.0030496358015886654,0.17871961559653182,0.17804791696830083,125,0,0,DROP,
ch02_thresh3-events,ch02,Thresh,0.002851345924893312,0.0034235575559057414,0.1775530343159884,0.19987871703649462,126,0,0,DROP,
ch06_fft-peakfreq,ch06,FFT,0.0028442772882603167,0.002872750315759014,0.17711287099812914,0.16772075190895538,127,0,0,DROP,
ch15_thresh3-events,ch15,Thresh,0.002784594180886167,0.0031153601886485254,0.1733964096879906,0.1818851260553434,128,0,0,DROP,
ch03_fft-peakfreq,ch03,FFT,0.0027775395423664004,0.002849016458282581,0.17295711803128502,0.16633509009219025,129,0,0,DROP,
ch15_fft-peakfreq,ch15,FFT,0.0027277454523451337,0.002815448312677323,0.16985644487300797,0.16437526971023142,130,0,0,DROP,
ch01_thresh3-events,ch01,Thresh,0.0026663881481850233,0.0030217655957254902,0.16603573149131465,0.1764207613266891,131,0,0,DROP,
